ID,Votes,Title,Year,Released,Runtime,Genre,Director,Writer,Actors,Plot,Country,Awards,RT_Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,BoxOffice,Production
tt7913934,692,The Matchmaker's Playbook,2018,15 Mar 2018,89 min,"Comedy, Romance",Tosca Musk,"Joany Kane (adaptation), Rachel Van Dyken (original story)","Nick Bateman, Caitlin Carver, Tyler Johnson, Justene Alpert","After a career-ending accident, former NFL recruit Ian Hunter is back on campus-and he's ready to get his new game on.",USA,N/A,,N/A,6.4,692,tt7913934,movie,N/A,N/A
tt7919680,7921,Karwaan,2018,03 Aug 2018,114 min,"Comedy, Drama",Akarsh Khurana,"Bejoy Nambiar (story), Akarsh Khurana (screenplay), Adhir Bhat (screenplay), Hussain Dalal (dialogue)","Irrfan Khan, Dulquer Salmaan, Mithila Palkar, Amala Akkineni",Two friends and a chirpy teenager take a road trip from Bangalore to Kochi.,India,N/A,71%,N/A,7.5,"7,649",tt7919680,movie,N/A,RSVP Movies
tt7923374,671,Badang,2018,15 Feb 2018,105 min,"Comedy, Fantasy",A. Razak Mohaideen,"Azlan Syah, Azhari Mohd Zain","Aliff Syukr, Fasha Sandha, Azhari Mohd Zain, Fauzi Nawawi",A male college student is often bullied by friends because of his gentle nature but actually has extraordinary power. His mother died due to being hit by a criminals who came to ask money ...,Malaysia,N/A,,N/A,1.1,633,tt7923374,movie,N/A,N/A
tt7938092,761,On Your Wedding Day,2018,22 Aug 2018,110 min,Romance,Lee Seok-Geun,Lee Seok-Geun,"Bo-Young Park, Young-kwang Kim, Jae-rim Song, Gyu-pil Go",The story of the man who receives a wedding invitation from his first love that he met in high school.,South Korea,N/A,,N/A,6.9,643,tt7938092,movie,N/A,N/A
tt7938336,823,Tagaru,2018,23 Feb 2018,N/A,Action,Duniya Soori,Duniya Soori,"Manvitha Harish, Devaraj, Bhavana, Dhananjay",Duniya Soori's Tagaru takes us on a bloody ride through the dark underbelly of the underworld and their clash against the police.,India,N/A,,N/A,8.5,220,tt7938336,movie,N/A,N/A
tt7938400,540,Love in 7 Days,2018,15 Jun 2018,138 min,"Comedy, Romance","Meenu Gaur, Farjad Nabi",Fasih Bari Khan,"Rimal Ali, Hina Dilpazir, Amna Ilyas, Emmad Irfani","The story follows a young man on a quest to find his true love in a crowded Karachi neighbourhood. He must overcome the obstacles, both spiritual and physical, to achieve his goals.",Pakistan,N/A,,N/A,5.9,507,tt7938400,movie,N/A,N/A
tt7938444,531,Sandakozhi 2,2018,18 Oct 2018,155 min,"Action, Drama",N. Linguswamy,"N. Linguswamy, S. Ramakrishnan, Brindha Sarathy","Vishal, Keerthi Suresh, Rajkiran, Varalaxmi Sarathkumar",Balu and his father have to protect a young man from a woman who has sworn vengeance on his entire clan.,India,N/A,,N/A,5.2,511,tt7938444,movie,N/A,N/A
tt7946422,4823,Prospect,2018,02 Nov 2018,100 min,"Drama, Sci-Fi, Thriller","Christopher Caldwell, Zeek Earl","Christopher Caldwell, Zeek Earl","Sophie Thatcher, Jay Duplass, Pedro Pascal, Luke Pitzrick","A teenage girl and her father travel to a remote alien moon, aiming to strike it rich. They've secured a contract to harvest a large deposit of the elusive gems hidden in the depths of the moon's toxic forest. But there are others roving the wilderness and the job quickly devolves into a fight to survive. Forced to contend not only with the forest's other ruthless inhabitants, but with her own ...","Canada, USA",1 nomination.,89%,68,6.1,"3,733",tt7946422,movie,N/A,DUST
tt7946836,2270,Animal World,2018,29 Jun 2018,132 min,"Adventure, Thriller",Yan Han,"Nobuyuki Fukumoto (comic ""Tobaku mokushiroku Kaiji""), Yan Han (screenplay)","Yi Feng Li, Dongyu Zhou, Michael Douglas, Bingkun Cao",A man finds himself deep in debt and is coerced to board a ship that hosts a risky gambling party.,China,N/A,64%,N/A,6.5,"2,199",tt7946836,movie,N/A,N/A
tt7952000,657,The Accused,2018,13 Sep 2018,108 min,"Crime, Drama, Thriller",Gonzalo Tobal,"Ulises Porra, Gonzalo Tobal","Lali Espósito, Leonardo Sbaraglia, Inés Estévez, Daniel Fanego","Dolores Dreier, lives the life of a young student until her best friend is brutally murdered. Two years later, she is the only one accused of the crime in a case of great media exposure ...","Argentina, Mexico",N/A,,N/A,6.0,548,tt7952000,movie,N/A,N/A
