Title,Year,Released,Runtime,Genre,Director,Writer,Actors,Plot,Country,Awards,RT_Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,BoxOffice,Production
Clerks,2000–2001,31 May 2000,22 min,"Animation, Comedy",N/A,"David Mandel, Scott Mosier, Kevin Smith","Jeff Anderson, Jason Mewes, Brian O'Halloran, Kevin Smith","The continuing adventures of clerks Dante and Randal, who try to make the best of their menial labor, with no help from Jay and Silent Bob.",USA,N/A,,N/A,7.4,"11,322",tt0210413,series,,
Dogma,1999,12 Nov 1999,130 min,"Adventure, Comedy, Drama, Fantasy",Kevin Smith,Kevin Smith,"Bud Cort, Barret Hackney, Jared Pfennigwerth, Kitao Sakurai",An abortion clinic worker with a special heritage is called upon to save the existence of humanity from being negated by two renegade angels trying to exploit a loop-hole and reenter Heaven.,USA,8 nominations.,67%,62,7.3,"197,954",tt0120655,movie,N/A,Lions Gate
Hush,1998,06 Mar 1998,96 min,"Drama, Thriller",Jonathan Darby,"Jonathan Darby (story), Jonathan Darby (screenplay), Jane Rusconi (screenplay)","Jessica Lange, Gwyneth Paltrow, Johnathon Schaech, Nina Foch","A couple with jobs and apartment in NYC, decide to move to his mom's farm, get married and have the baby there. They can also make the changes to get a better price for the farm. However, there's something seriously wrong with his mom.",USA,1 win & 2 nominations.,13%,18,5.3,"8,959",tt0118744,movie,N/A,Sony Pictures Home Entertainment
Great Expectations,1998,30 Jan 1998,111 min,"Drama, Romance",Alfonso Cuarón,"Charles Dickens (novel), Mitch Glazer (screenplay)","Ethan Hawke, Gwyneth Paltrow, Hank Azaria, Chris Cooper",Modernization of Charles Dickens classic story finds the hapless Finn as a painter in New York City pursuing his unrequited and haughty childhood love.,USA,1 win & 3 nominations.,37%,55,6.8,"48,163",tt0119223,movie,N/A,20th Century Fox
Emma,1996,30 Aug 1996,120 min,"Comedy, Drama, Romance",Douglas McGrath,"Jane Austen (novel), Douglas McGrath (screenplay)","Gwyneth Paltrow, James Cosmo, Greta Scacchi, Alan Cumming","While matchmaking for friends and neighbours, a young 19th Century Englishwoman nearly misses her own chance at love.","UK, USA",Won 1 Oscar. Another 2 wins & 7 nominations.,66/100,66,6.7,"32,576",tt0116191,movie,N/A,A&amp;E Television Networks
Hard Eight,1996,28 Feb 1997,101 min,"Crime, Drama",Paul Thomas Anderson,Paul Thomas Anderson,"Philip Baker Hall, John C. Reilly, Gwyneth Paltrow, Samuel L. Jackson",Professional gambler Sydney teaches John the tricks of the trade. John does well until he falls for cocktail waitress Clementine.,USA,2 wins & 8 nominations.,83%,78,7.2,"35,302",tt0119256,movie,N/A,MGM
Se7en,1995,22 Sep 1995,127 min,"Crime, Drama, Mystery, Thriller",David Fincher,Andrew Kevin Walker,"Morgan Freeman, Andrew Kevin Walker, Daniel Zacapa, Brad Pitt","Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.",USA,Nominated for 1 Oscar. Another 25 wins & 33 nominations.,81%,65,8.6,"1,288,406",tt0114369,movie,N/A,New Line Cinema
Higher Learning,1995,11 Jan 1995,127 min,"Crime, Drama, Romance, Sport, Thriller",John Singleton,John Singleton,"Omar Epps, Kristy Swanson, Michael Rapaport, Jennifer Connelly","People from all different walks of life, encounter racial tension, rape, responsibility, and the meaning of an education on a university campus.",USA,1 win & 1 nomination.,49%,54,6.5,"16,740",tt0113305,movie,N/A,Sony Pictures Home Entertainment
Deadly Relations,1993,22 May 1993,91 min,"Crime, Thriller, Drama",Bill Condon,"Carol Donahue (book), Shirley Hall (book), Dennis Nemec (teleplay)","Robert Urich, Shelley Fabares, Gwyneth Paltrow, Tony Higgins","Throughout the 1970's, a man with a military sense of control over his family lets his daughters know what he thinks of the lifestyles they're choosing - but how far will he go?",USA,N/A,,N/A,5.8,323,tt0106687,movie,N/A,O.T.M.L. Productions
Hook,1991,11 Dec 1991,142 min,"Adventure, Comedy, Family, Fantasy",Steven Spielberg,"J.M. Barrie (books), J.M. Barrie (play), James V. Hart (screen story), Nick Castle (screen story), James V. Hart (screenplay), Malia Scotch Marmo (screenplay)","Dustin Hoffman, Robin Williams, Julia Roberts, Bob Hoskins","When Captain Hook kidnaps his children, an adult Peter Pan must return to Neverland and reclaim his youthful spirit in order to challenge his old enemy.",USA,Nominated for 5 Oscars. Another 5 wins & 13 nominations.,26%,52,6.7,"213,683",tt0102057,movie,N/A,TriStar Pictures
High,1989,N/A,N/A,Drama,Bruce Paltrow,Bruce Paltrow,"Dana Barron, Zach Braff, Roxann Dawson, Craig Ferguson",N/A,USA,N/A,,N/A,4.8,12,tt2933136,movie,N/A,N/A
Glee: The 3D Concert Movie,2011,12 Aug 2011,84 min,"Documentary, Music","Kevin Tancharoen, Jennifer Arnold",N/A,"Dianna Agron, Chris Colfer, Darren Criss, Kevin McHale","A concert documentary shot during the Glee Live! In Concert! summer 2011 tour, featuring song performances and Glee fans' life stories and how the show influenced them.",USA,N/A,60%,48,5.4,"5,432",tt1922612,movie,"$11,860,839",20th Century Fox
One Tree Hill,2003–2012,23 Sep 2003,60 min,"Drama, Romance, Sport",N/A,Mark Schwahn,"Bethany Joy Lenz, Sophia Bush, James Lafferty, Lee Norris","Half-brothers Lucas and Nathan Scott trade between kinship and rivalry both on the basketball court and in the hearts of their friends in the small, but not so quiet town of Tree Hill, North Carolina.",USA,3 wins & 27 nominations.,,N/A,7.7,"66,551",tt0368530,series,,
In the Cut,2003,31 Oct 2003,119 min,"Mystery, Thriller",Jane Campion,"Jane Campion (screenplay), Susanna Moore (screenplay), Susanna Moore (novel), Stavros Kazantzidis (additional writer)","Jennifer Jason Leigh, Meg Ryan, Michael Nuccio, Allison Nega","New York City writing professor, Frannie Avery, has an affair with a police detective, who is investigating the murder of a beautiful young woman in her neighborhood.","UK, Australia, USA",1 win & 2 nominations.,33%,46,5.3,"20,484",tt0199626,movie,"$4,717,455",Sony Pictures
The Chef Show,2019–,07 Jun 2019,N/A,Documentary,N/A,N/A,"Roy Choi, Jon Favreau",N/A,USA,N/A,,N/A,8.9,79,tt10359446,series,,
Planet of the Apps,2017–,06 Jun 2017,50 min,Reality-TV,N/A,N/A,"Jessica Alba, Gwyneth Paltrow, Gary Vaynerchuk, Will.i.am",An unscripted series about the world of mobile apps and the people that drive its innovation.,USA,N/A,,N/A,6.0,169,tt5884018,series,,
Trailblazers,2017–,14 Jun 2017,26 min,N/A,N/A,N/A,"Tania Bryer, Lang Lang",N/A,UK,N/A,,N/A,N/A,N/A,tt7120820,series,,
The Restart Project,2013–2014,N/A,7 min,N/A,N/A,N/A,"Kitty McNamee, Gwyneth Paltrow, Katie Schwartz","Gwyneth Paltrow and Tracy Anderson spend time with women who've overcome hardship, injury, and setbacks to triumph in the face of adversity.",USA,N/A,,N/A,N/A,N/A,tt6954546,series,,
Iron Man 3: Sky Movies Special,2013,N/A,30 min,Documentary,N/A,N/A,"Shane Black, Don Cheadle, Robert Downey Jr., Rebecca Hall",N/A,UK,N/A,,N/A,5.9,14,tt2909350,movie,N/A,N/A
Iron Man 3 Unmasked,2013,24 Sep 2013,11 min,Short,N/A,N/A,"Kevin Feige, Shane Black, Robert Downey Jr., Eric Oram",Making of _Iron Man 3 (2013)_.,USA,N/A,,N/A,5.7,17,tt3212636,movie,N/A,N/A
The Conversation,2012–,26 Apr 2012,N/A,Talk-Show,N/A,N/A,Amanda De Cadenet,"Get ready for real talk and real conversation in this new Lifetime series, executive produced by Demi Moore and British actress, Amanda de Cadenet. Each episode provides a refreshing and ...",USA,N/A,,N/A,8.1,49,tt1926875,series,,
The American Cinematheque Tribute to Robert Downey Jr,2011,N/A,N/A,N/A,"Leslie Wilson, Jeff Roe","Paul Flattery, David Wild","Robert Downey Jr., Mel Gibson, Jamie Foxx, Garry Shandling","Friends, family and colleagues pay tribute to Robert Downey at the annual irreverent after dinner event produced by the American Cinematheque.",USA,N/A,,N/A,8.2,13,tt2087970,movie,N/A,N/A
Der Weg des Ruhms,2011,15 Oct 2011,60 min,Documentary,Eckhart Schmidt,Eckhart Schmidt,N/A,N/A,Germany,N/A,,N/A,N/A,N/A,tt2396046,movie,N/A,N/A
Guesting on Glee,2011,13 Sep 2011,8 min,"Documentary, Short",N/A,N/A,"Katie Couric, Naya Rivera, Carol Burnett, Gwyneth Paltrow",N/A,USA,N/A,,N/A,N/A,N/A,tt2439982,movie,N/A,N/A
National Movie Awards,2011,11 May 2011,120 min,News,Richard Valentine,Ivor Baddiel,"Christine Bleakley, Gary Barlow, Shirley Bassey, Simon Bird",N/A,UK,N/A,,N/A,7.3,7,tt1957980,movie,N/A,N/A
CMT Insider,2004–,01 Jan 2004,30 min,News,N/A,N/A,"Katie Cook, Allison DeMarcus, Rascal Flatts, Taylor Swift",N/A,USA,N/A,,N/A,5.8,46,tt0498024,series,,
Stand Up to Cancer,2010,10 Sep 2010,N/A,N/A,N/A,N/A,"Hank Aaron, Kareem Abdul-Jabbar, Tatyana Ali, Dave Annable",N/A,USA,N/A,,N/A,6.5,38,tt1720620,movie,N/A,N/A
Food Revolution,2010–2011,21 Mar 2010,60 min,Reality-TV,N/A,N/A,"Jamie Oliver, Alice Gue, Rod Willis, Mike McGalliard","Impassioned chef Jamie Oliver is determined to take on the high statistics of obesity, heart disease and diabetes in the United States.",USA,Won 1 Primetime Emmy. Another 1 nomination.,,N/A,8.1,752,tt1563697,series,,
The Making of Anton AKA Trapped,2009,06 Feb 2009,45 min,Documentary,"Graham Cantwell, Patrick Clarke",N/A,"Gerard McSorley, Anthony Fox, Patrick Clarke, Graham Cantwell",The making of 'Anton' (aka 'Trapped) follows the journey of the filmmakers from the first script reading (2005) to the films theatrical release on Oct 10 2008.,Ireland,N/A,,N/A,5.5,11,tt1341744,movie,N/A,N/A
The 51st Annual Grammy Awards,2009,08 Feb 2009,N/A,Music,"Walter C. Miller, Wes Young","Ken Ehrlich, David Wild","Adele, Gene Autry, Simon Baker, Kate Beckinsale",N/A,USA,Won 1 Primetime Emmy. Another 1 win & 3 nominations.,,N/A,6.6,63,tt1366325,movie,N/A,N/A
The Victoria's Secret Fashion Show,2008,03 Dec 2008,N/A,Reality-TV,Hamish Hamilton,N/A,"Heidi Klum, Alessandra Ambrosio, Doutzen Kroes, Karolina Kurkova","Victoria's secret fashion show is an annual fashion show featuring Victoria's secret, a brand of lingerie and sleep wear. Victoria's secret use this show to promote their products in high profile setting with the help of top models.",USA,N/A,,N/A,7.9,491,tt1328650,movie,N/A,N/A
Jay Z: Live at the Royal Albert Hall,2006,N/A,N/A,Music,Alex Coletti,N/A,"Jay Z, Nas, Chris Martin, Gwyneth Paltrow",N/A,"USA, UK",N/A,,N/A,7.0,8,tt0901491,movie,N/A,N/A
La Marató 2006,2006,17 Dec 2006,N/A,N/A,Xavi Abad,N/A,"Antoni Bassas, Ferran Adrià, Alaska, Toni Albà",N/A,Spain,N/A,,N/A,N/A,N/A,tt0903891,movie,N/A,N/A
The White Shadow: The Shadow of Bruce Paltrow,2006,07 Mar 2006,N/A,"Documentary, Short",N/A,N/A,"Ira Angustain, Thomas Carter, Blythe Danner, Tom Fontana",N/A,USA,N/A,,N/A,N/A,N/A,tt0781094,movie,N/A,N/A
The ELLE Style Awards,2002,06 Oct 2002,N/A,N/A,Alex Hardcastle,N/A,"John Corbett, Sarah Doyle, Rhys Ifans, Jodie Kidd",N/A,UK,N/A,,N/A,N/A,N/A,tt0346922,movie,N/A,N/A
Behind the Scenes of 'Possession',2002,01 Jul 2002,22 min,Documentary,Michael Rosen,N/A,"Aaron Eckhart, Jeremy Northam, Gwyneth Paltrow","A behind the scenes look at the making of the Neil LaBute motion picture ""Possession""",USA,N/A,,N/A,N/A,N/A,tt0783482,movie,N/A,N/A
Playboy Exposed: Playboy Mansion Parties Uncensored,2001,N/A,48 min,"Documentary, Music",N/A,N/A,"Pamela Anderson, Tom Arnold, John Asher, Regina Russell Banali",N/A,USA,N/A,,N/A,6.0,58,tt0838191,movie,N/A,N/A
The 55th Annual Tony Awards,2001,03 Jun 2001,N/A,Family,Glenn Weiss,Thomas Meehan,"Nathan Lane, Matthew Broderick, Joan Allen, Nancy Anderson",N/A,USA,1 win & 1 nomination.,,N/A,7.4,55,tt0303594,movie,N/A,N/A
6th Annual Screen Actors Guild Awards,2000,12 Mar 2000,N/A,Family,Ron de Moraes,Stephen Pouliot,"Jennifer Aniston, Hank Azaria, Kathy Baker, Roberto Benigni",N/A,USA,N/A,,N/A,4.1,93,tt0280386,movie,N/A,N/A
Intern,2000,21 Jan 2000,90 min,Comedy,Michael Lange,"Caroline Doyle, Jill Kargman","Dominique Swain, Ben Pullen, Peggy Lipton, David Deblinger","A young, underappreciated intern at the ultra-hip magazine Skirt must learn to deal with kissy-face phoniness, model tantrums and bulimic editors, while trying to steal the heart of a ...",USA,N/A,38%,N/A,4.8,557,tt0202989,movie,N/A,York
1999 MTV Movie Awards,1999,N/A,N/A,"Family, Music","Bruce Gowers, Russell Bates, Joel Gallen, Troy Miller","Mike Bender, Robert Cohen, Will Forte, Joel Gallen (creator), Bruce Leddy, Brian Mulhern, Kevin Mulhern, Eugene Pack, Michael Showalter, David Wain","Lisa Kudrow, Cameron Diaz, Jim Carrey, Katie Holmes",The eighth annual MTV Movie Awards. Hosted by Lisa Kudrow.,USA,1 nomination.,,N/A,5.3,221,tt0266212,movie,N/A,N/A
The 1998 Annual ShoWest Awards,1998,10 Mar 1998,N/A,Reality-TV,N/A,N/A,"Joan Allen, Drew Barrymore, Jerry Bruckheimer, Sean Connery",N/A,USA,N/A,,N/A,N/A,N/A,tt2096626,movie,N/A,N/A
Thomas Jefferson,1997–,N/A,180 min,"Documentary, History",N/A,N/A,"Ossie Davis, Joseph Ellis, John Hope Franklin, Gwyneth Paltrow",A biographical film about The United States' influential and profoundly enigmatic Founding Father.,USA,N/A,,N/A,7.8,514,tt0118489,series,,
The 54th Annual Golden Globe Awards,1997,19 Jan 1997,N/A,N/A,N/A,N/A,"Andre Agassi, Joan Allen, Gillian Anderson, Patricia Arquette",Golden Globe Award - American award awarded by the Hollywood association of the foreign press from 1944 for works in movies and television's pictures.,USA,1 nomination.,,N/A,7.6,29,tt1800384,movie,N/A,N/A
MTV Video Music Awards 1996,1996,04 Sep 1996,N/A,Music,Beth McCarthy-Miller,N/A,"Carol Alt, Paul Arthurs, Backstreet Boys, Kevin Bacon",Annual MTV Video Music Award show. Hosted by Dennis Miller.,USA,1 nomination.,,N/A,5.7,73,tt0378278,movie,N/A,N/A
News at Ten,1967,03 Jul 1967,N/A,News,Alastair Burnet,N/A,"Mark Austin, Mary Nightingale, Reginald Bosanquet, Andrew Gardner",N/A,N/A,N/A,,N/A,7.2,10,tt0229912,series,,
As I AM: The Life and Times of DJ AM,2015,17 Apr 2015,109 min,"Documentary, Biography, History, Music",Kevin Kerslake,Kevin Kerslake,"A-Trak, Niko Achtipes, DJ AM, Nadia Angelini","A retrospective look at the life and work of influential electronic music DJ, Adam Goldstein, known as DJ AM.",USA,N/A,100%,62,7.1,262,tt3014600,movie,N/A,Abramorama
Give It Up for Greg Giraldo,2011,18 Mar 2011,42 min,"Documentary, Comedy",N/A,N/A,"Pamela Anderson, Tom Arnold, Dave Attell, Lewis Black",Tribute to the late stand-up comedian/roaster Greg Giraldo.,USA,N/A,,N/A,8.4,56,tt1922611,movie,N/A,N/A
Del corto a Hollywood,2008,21 Nov 2008,42 min,Documentary,Gonzalo Cabrera,Juan Zavala,"Luiso Berdejo, Borja Cobeaga, Gonzalo López-Gallego, Jaume Balagueró",N/A,Spain,N/A,,N/A,5.6,7,tt1329485,movie,N/A,N/A
Vinte na Galega,2007–,N/A,N/A,N/A,N/A,N/A,"María Bouzas, Pemón Bouzas, Adela Cano, Luma Gómez",N/A,Spain,N/A,,N/A,N/A,N/A,tt1577757,series,,
Cámara negra. Teatro Victoria Eugenia,2007,20 Sep 2007,10 min,"Documentary, Short",Carlos Rodríguez,Carlos Rodríguez,"Ainhoa Arteta, Aitzpea Goenaga, Albert Boadella, Alberto Iglesias",N/A,Spain,N/A,,N/A,8.6,48,tt1111782,movie,N/A,N/A
Timeshift,2002–,05 Oct 2002,60 min,Documentary,N/A,N/A,"Veronika Hyks, Tamsin Greig, Andrew Martin, Matthew Sweet","Series looking at changes in British society, employing archive footage from the BBC and other sources.",UK,N/A,,N/A,6.7,31,tt0796171,series,,
Love Chain,2003–,N/A,N/A,N/A,N/A,N/A,"Jawn Murray, Ava Cadell, Eric Dane, Alyssa Milano",N/A,USA,N/A,,N/A,5.7,7,tt0385435,series,,
Saturday Night Live: The Best of Chris Kattan,2003,27 Sep 2003,76 min,Comedy,Beth McCarthy-Miller,N/A,Chris Kattan,N/A,USA,N/A,,N/A,6.8,169,tt0487269,movie,N/A,LionsGate Entertainment
101 Most Shocking Moments in Entertainment,2003,01 Jul 2003,300 min,Documentary,N/A,John Salcido,"Chad Doreck, Aaliyah, Ben Affleck, Woody Allen","From Disturbing Discoveries to Astonishing Arressts, and Tragic Endings. In this tv-special, E! countdowns the greatest moments in the entertainment industry that shocked the American Public.",USA,N/A,,N/A,4.3,286,tt0397406,movie,N/A,N/A
Pootie Tang,2001,29 Jun 2001,81 min,"Action, Adventure, Comedy, Musical",Louis C.K.,Louis C.K.,"Lance Crouther, J.B. Smoove, Jennifer Coolidge, Reg E. Cathey","""The Man"" is baffled by a chill hero's invincible weapon: gibberish.",USA,1 nomination.,27%,31,5.2,"12,847",tt0258038,movie,"$2,839,456",Paramount Pictures
Wisting,2019–,11 Apr 2019,60 min,Crime,N/A,N/A,"Sven Nordin, Thea Green Lundberg, Mads Ousdal, Gard B. Eidsvold","Empathetic, meticulous and relentless - the only thing to escape Larvik detective William Wisting in his hunt for Norway's most notorious criminals is a happy family life. And when two ...",Norway,N/A,,N/A,7.9,352,tt7875794,series,,
The Defenders,2017,18 Aug 2017,50 min,"Action, Adventure, Crime, Fantasy, Sci-Fi",N/A,"Douglas Petrie, Marco Ramirez","Charlie Cox, Krysten Ritter, Mike Colter, Finn Jones","Set a few months after the events of the second season of Daredevil, and a month after the events of Iron Fist, the vigilantes Daredevil, Jessica Jones, Luke Cage, and Iron Fist team up in New York City to fight a common enemy: The Hand.",USA,1 nomination.,,N/A,7.4,"74,840",tt4230076,series,,
The Bye Bye Man,2017,13 Jan 2017,96 min,"Drama, Fantasy, Horror, Mystery, Thriller",Stacy Title,"Jonathan Penner (screenplay by), Robert Damon Schneck (based on ""The Bridge to Body Island"" by)","Douglas Smith, Lucien Laviscount, Cressida Bonas, Doug Jones",Three friends stumble upon the horrific origins of a mysterious figure they discover is the root cause of the evil behind unspeakable acts.,"USA, China",N/A,20%,37,4.3,"17,644",tt4030600,movie,"$22,377,458",STX Entertainment
Brain on Fire,2016,22 Jun 2018,88 min,"Biography, Drama",Gerard Barrett,"Gerard Barrett (screenplay), Susannah Cahalan (memoir)","Chloë Grace Moretz, Thomas Mann, Richard Armitage, Carrie-Anne Moss","A young, capable professional cannot explain her newly erratic behavior.","USA, Canada, Ireland",N/A,13%,34,6.6,"12,511",tt3704700,movie,N/A,Broad Green Pictures
Man Seeking Woman,2015–2017,14 Jan 2015,21 min,"Comedy, Fantasy, Romance",N/A,Simon Rich,"Jay Baruchel, Eric André, Britt Lower, Robin Duke",A naive romantic goes on a desperate quest for love when his longtime girlfriend dumps him.,USA,2 nominations.,,N/A,7.7,"8,612",tt4189492,series,,
Pirate's Passage,2015,20 Oct 2018,88 min,"Animation, Fantasy","Mike Barth, Jamie Gallant","William Gilkerson (novel), Brad Peyton, Donald Sutherland","Donald Sutherland, Gage Munroe, Carrie-Anne Moss, Megan Follows","A mysterious old sailor arrives in Grey Rocks, Nova Scotia and meets a young boy and mother whom he offers to help for his own reasons.",Canada,2 nominations.,,N/A,6.8,330,tt3387444,movie,N/A,Martin&#39;s River Ink
Crossing Lines,2013–2015,23 Jun 2013,43 min,"Action, Crime, Drama",N/A,Edward Allen Bernero,"Tom Wlaschiha, Donald Sutherland, Lara Rossi, William Fichtner","A special crime unit investigates serialized crimes that cross over European borders, to hunt down criminals and bring them to justice.","France, Germany, Belgium, USA",N/A,,N/A,7.4,"11,391",tt2427220,series,,
Pompeii,2014,21 Feb 2014,105 min,"Action, Adventure, Drama, History, Romance",Paul W.S. Anderson,"Janet Scott Batchler (screenplay), Lee Batchler (screenplay), Michael Robert Johnson (screenplay)","Kit Harington, Carrie-Anne Moss, Emily Browning, Adewale Akinnuoye-Agbaje","A slave-turned-gladiator finds himself in a race against time to save his true love, who has been betrothed to a corrupt Roman Senator. As Mount Vesuvius erupts, he must fight to save his beloved as Pompeii crumbles around him.","Canada, Germany, USA",9 wins & 4 nominations.,27%,39,5.5,"100,461",tt1921064,movie,"$19,919,371",Sony Pictures
Compulsion,2013,27 Jun 2013,88 min,"Comedy, Drama, Thriller",Egidio Coccimiglio,"Floyd Byars (screenplay by), Cheol-su Park (based on the film 301,  302 by)","Heather Graham, Carrie-Anne Moss, Kevin Dillon, Joe Mantegna",The lives of two female neighbors intersect when their individual obsessions begin to unravel.,Canada,5 wins.,,N/A,4.5,"2,661",tt2381931,movie,N/A,Phase 4 Films
Treading Water,2013,10 Mar 2015,92 min,"Comedy, Drama",Analeine Cal y Mayor,"Analeine Cal y Mayor, Javier Gullón","Douglas Smith, Zoë Kravitz, Carrie-Anne Moss, Ariadna Gil","At first glance, Mica seems a perfectly normal boy. But first glances can often be deceiving... For one, Mica's house is now a museum honouring Guillermo Garibai, the legendary Mexican ...","Mexico, Canada",1 win & 1 nomination.,40%,47,6.2,507,tt2091427,movie,N/A,The Orchard
Knife Fight,2012,28 Jan 2013,100 min,Drama,Bill Guttentag,"Bill Guttentag, Chris Lehane","Rob Lowe, Julie Bowen, Saffron Burrows, Jamie Chung",A political strategist juggling three clients questions whether or not to take the high road as the ugly side of his work begins to haunt him.,USA,N/A,28%,34,5.1,"1,254",tt1931466,movie,N/A,IFC Films
Chuck,2007–2012,24 Sep 2007,43 min,"Action, Comedy, Drama",N/A,"Chris Fedak, Josh Schwartz","Zachary Levi, Yvonne Strahovski, Joshua Gomez, Vik Sahay","When a twenty-something computer geek inadvertently downloads critical government secrets into his brain, the C.I.A. and the N.S.A. assign two agents to protect him and exploit such knowledge, turning his life upside down.",USA,Won 2 Primetime Emmys. Another 7 wins & 30 nominations.,,N/A,8.2,"120,627",tt0934814,series,,
Unthinkable,2010,26 May 2010,97 min,"Crime, Drama, Thriller",Gregor Jordan,Peter Woodward,"Samuel L. Jackson, Carrie-Anne Moss, Michael Sheen, Stephen Root",A psychological thriller centered around a black-ops interrogator and an F.B.I. Agent who press a suspect terrorist into divulging the location of three nuclear weapons set to detonate in the U.S.,USA,N/A,,N/A,7.1,"80,133",tt0914863,movie,N/A,Senator Entertainment
Love Hurts,2009,19 Mar 2010,90 min,"Comedy, Romance",Barra Grant,Barra Grant,"Richard E. Grant, Carrie-Anne Moss, Johnny Pacar, Jenna Elfman",A newly separated father has to learn how to date again with help from his teenage son who himself dreams of conquering one girl's heart.,USA,4 wins & 1 nomination.,29%,46,5.7,"1,257",tt1213825,movie,N/A,Lantern Entertainment
Fireflies in the Garden,2008,17 Jul 2008,120 min,Drama,Dennis Lee,"Robert Frost (poem), Dennis Lee","Ryan Reynolds, Willem Dafoe, Emily Watson, Carrie-Anne Moss",The Taylor family is devastated by an accident that takes place on the day their matriarch is due to graduate from college -- decades after leaving to raise her children.,USA,1 nomination.,21%,34,6.5,"11,901",tt0961108,movie,"$36,884",Senator Entertainment
Normal,2007,07 Oct 2008,100 min,Drama,Carl Bessai,Travis McDonald,"Carrie-Anne Moss, Kevin Zegers, Callum Keith Rennie, Andrew Airlie","A deadly car accident brings together a group of previously unrelated people, each of whom is forced to deal with the emotional fallout.",Canada,6 wins & 11 nominations.,0%,N/A,6.1,"1,075",tt0905357,movie,N/A,Bankside Media
Fido,2006,16 Mar 2007,93 min,"Comedy, Drama, Horror, Sci-Fi",Andrew Currie,"Robert Chomiak, Andrew Currie, Dennis Heaton, Dennis Heaton (original story)","David Kaye, Jan Skorzewski, Kevin Tyell, Andy Parkin","In an Earthly world resembling the 1950s, a cloud of space radiation has shrouded the planet, resulting in the dead becoming zombies that desire live human flesh. A company called Zomcon ...",Canada,13 wins & 15 nominations.,72%,70,6.7,"27,040",tt0457572,movie,N/A,Roadside Attractions/Samuel Goldwyn
Snow Cake,2006,08 Sep 2006,112 min,"Drama, Romance",Marc Evans,Angela Pell,"Alan Rickman, Emily Hampshire, Jackie Brown, Callum Keith Rennie",A drama focused on the friendship between a high-functioning autistic woman and a man who is traumatized after a fatal car accident.,"Canada, UK",3 wins & 7 nominations.,65%,54,7.6,"11,731",tt0448124,movie,N/A,IFC First Take
Suspect Zero,2004,27 Aug 2004,99 min,"Crime, Horror, Mystery, Thriller",E. Elias Merhige,"Zak Penn (story), Zak Penn (screenplay), Billy Ray (screenplay)","Aaron Eckhart, Ben Kingsley, Carrie-Anne Moss, Harry Lennix","A mysterious serial killer is hunting other serial killers, and one F.B.I. Agent suspects there may be more to the vigilante than they imagine.","UK, Germany, USA",N/A,18%,37,5.9,"18,074",tt0324127,movie,"$8,570,393",Paramount Pictures
Kid's Story,2003,02 Jun 2003,15 min,"Animation, Sci-Fi, Short",Shin'ichirô Watanabe,"Lana Wachowski (story), Lilly Wachowski (story), Shin'ichirô Watanabe","Clayton Watson, Keanu Reeves, Carrie-Anne Moss, John DeMita","A teenager's dreams which conclude with him falling off a building, lead him to believe that the reality he lives in, may not be so real after all.",USA,N/A,,N/A,7.6,"5,739",tt0368574,movie,N/A,N/A
The Matrix Reloaded,2003,15 May 2003,138 min,"Action, Sci-Fi","Lana Wachowski, Lilly Wachowski","Lilly Wachowski, Lana Wachowski, Lilly Wachowski (characters), Lana Wachowski (characters)","Ray Anthony, Christine Anu, Andy Arness, Alima Ashton-Sheibu","Following the events of The Matrix (1999), Neo and the rebel leaders estimate they have 72 hours until 250,000 probes discover Zion and destroy it and its inhabitants. Neo must decide how he can save Trinity from a dark fate in his dreams.",USA,8 wins & 31 nominations.,73%,62,7.2,"476,411",tt0234215,movie,"$281,500,000",Warner Bros. Pictures
The Animatrix,2003,03 Jun 2003,100 min,"Animation, Action, Adventure, Sci-Fi","Peter Chung, Andrew R. Jones, Yoshiaki Kawajiri, Takeshi Koike, Mahiro Maeda, Kôji Morimoto, Shin'ichirô Watanabe","Lilly Wachowski (screenplay ""The Matrix""), Lana Wachowski (screenplay ""The Matrix""), Lilly Wachowski, Lana Wachowski, Yoshiaki Kawajiri, Kôji Morimoto, Shin'ichirô Watanabe, Peter Chung","Kevin Michael Richardson, Pamela Adlon, John DiMaggio, Tom Kenny","The Animatrix is a collection of several animated short films, detailing the backstory of the ""Matrix"" universe, and the original war between man and machines which led to the creation of the Matrix.","Japan, USA",2 wins & 4 nominations.,89%,N/A,7.4,"67,559",tt0328832,movie,N/A,Warner Home Video
Chocolat,2000,19 Jan 2001,121 min,"Drama, Romance",Lasse Hallström,"Joanne Harris (novel), Robert Nelson Jacobs (screenplay)","Alfred Molina, Carrie-Anne Moss, Aurelien Parent Koenig, Antonio Gil",A woman and her daughter open a chocolate shop in a small French village that shakes up the rigid morality of the community.,"UK, USA",Nominated for 5 Oscars. Another 7 wins & 30 nominations.,62%,64,7.3,"168,033",tt0241303,movie,N/A,Miramax
Memento,2000,25 May 2001,113 min,"Mystery, Thriller",Christopher Nolan,"Christopher Nolan (screenplay), Jonathan Nolan (short story ""Memento Mori"")","Guy Pearce, Carrie-Anne Moss, Joe Pantoliano, Mark Boone Junior",A man with short-term memory loss attempts to track down his wife's murderer.,USA,Nominated for 2 Oscars. Another 56 wins & 55 nominations.,92%,80,8.5,"1,026,987",tt0209144,movie,"$23,844,220",Newmarket Films
